Provider tvg-id,Stable ID,Canonical Name,EPG.pw Channel,EPG.pw ID,Confidence
AU-00029,au-au-00029,9GEM,9GEM,1674,MEDIUM
AU-00037,au-au-00037,9GO!,9GO!,1608,MEDIUM
AU-00045,au-au-00045,9LIFE,9LIFE,1803,MEDIUM
AU-00053,au-au-00053,9RUSH,9RUSH,1635,MEDIUM
AU-00024,au-au-00024,CHANNEL 9,CHANNEL 9,4542,MEDIUM
AU-00032,au-au-00032,9GEM,9GEM,1674,MEDIUM
AU-00040,au-au-00040,9GO!,9GO!,1608,MEDIUM
AU-00048,au-au-00048,9LIFE,9LIFE,1803,MEDIUM
AU-00056,au-au-00056,9RUSH,9RUSH,1635,MEDIUM
AU-00022,au-au-00022,CHANNEL 9,CHANNEL 9,4542,MEDIUM
AU-00030,au-au-00030,9GEM,9GEM,1674,MEDIUM
AU-00038,au-au-00038,9GO!,9GO!,1608,MEDIUM
AU-00046,au-au-00046,9LIFE,9LIFE,1803,MEDIUM
AU-00054,au-au-00054,9RUSH,9RUSH,1635,MEDIUM
AU-00023,au-au-00023,CHANNEL 9,CHANNEL 9,4542,MEDIUM
AU-00031,au-au-00031,9GEM,9GEM,1674,MEDIUM
AU-00039,au-au-00039,9GO!,9GO!,1608,MEDIUM
AU-00047,au-au-00047,9LIFE,9LIFE,1803,MEDIUM
AU-00055,au-au-00055,9RUSH,9RUSH,1635,MEDIUM
AU-00025,au-au-00025,CHANNEL 9,CHANNEL 9,4542,MEDIUM
AU-00033,au-au-00033,9GEM,9GEM,1674,MEDIUM
AU-00041,au-au-00041,9GO!,9GO!,1608,MEDIUM
AU-00049,au-au-00049,9LIFE,9LIFE,1803,MEDIUM
AU-00057,au-au-00057,9RUSH,9RUSH,1635,MEDIUM
AU-00019,au-au-00019,CHANNEL 9,CHANNEL 9,4542,MEDIUM
AU-00026,au-au-00026,9GEM,9GEM,1674,MEDIUM
AU-00034,au-au-00034,9GO!,9GO!,1608,MEDIUM
AU-00042,au-au-00042,9LIFE,9LIFE,1803,MEDIUM
AU-00050,au-au-00050,9RUSH,9RUSH,1635,MEDIUM
AU-00020,au-au-00020,CHANNEL 9,CHANNEL 9,4542,MEDIUM
AU-00027,au-au-00027,9GEM,9GEM,1674,MEDIUM
AU-00035,au-au-00035,9GO!,9GO!,1608,MEDIUM
AU-00043,au-au-00043,9LIFE,9LIFE,1803,MEDIUM
AU-00051,au-au-00051,9RUSH,9RUSH,1635,MEDIUM
AU-00021,au-au-00021,CHANNEL 9,CHANNEL 9,4542,MEDIUM
AU-00028,au-au-00028,9GEM,9GEM,1674,MEDIUM
AU-00036,au-au-00036,9GO!,9GO!,1608,MEDIUM
AU-00044,au-au-00044,9LIFE,9LIFE,1803,MEDIUM
AU-00052,au-au-00052,9RUSH,9RUSH,1635,MEDIUM
AU-00003,au-au-00003,10,10,1857,MEDIUM
AU-00005,au-au-00005,10,10,1857,MEDIUM
AU-00009,au-au-00009,10,10,1857,MEDIUM
AU-00011,au-au-00011,7FLIX,7FLIX,1338,HIGH
AU-00012,au-au-00012,7FLIX,7FLIX,1338,HIGH
AU-00013,au-au-00013,7FLIX,7FLIX,1338,HIGH
AU-00014,au-au-00014,7FLIX,7FLIX,1338,HIGH
AU-00010,au-au-00010,7BRAVO,7BRAVO,1185,HIGH
AU-00182,au-au-00182,FOX CRICKET,FOX CRICKET,1320,MEDIUM
AU-00015,au-au-00015,7MATE,7MATE,1290,HIGH
AU-00017,au-au-00017,7TWO,7TWO,1209,HIGH
AU-00018,au-au-00018,7TWO,7TWO,1209,HIGH
AU-00058,au-au-00058,ABC KIDS,ABC KIDS,3276,HIGH
AU-00060,au-au-00060,ABC KIDS,ABC KIDS,3276,MEDIUM
AU-00059,au-au-00059,ABC ME,ABC ME,5880,HIGH
AU-00062,au-au-00062,ABC KIDS,ABC KIDS,3276,MEDIUM
AU-00063,au-au-00063,ABC KIDS,ABC KIDS,3276,MEDIUM
AU-00018,au-au-00018,7TWO,7TWO,1209,MEDIUM
AU-00008,au-au-00008,10,10,1857,MEDIUM
AU-00061,au-au-00061,ABC NEWS,ABC NEWS,125577,HIGH
AU-00207,au-au-00207,RACING.COM,RACING.COM,0,MEDIUM
AU-00208,au-au-00208,RACING.COM,RACING.COM,0,HIGH
AU-00209,au-au-00209,RACING.COM,RACING.COM,0,HIGH
AU-00210,au-au-00210,RACING.COM,RACING.COM,0,HIGH
AU-00331,au-au-00331,TVSN,TVSN,3249,MEDIUM
AU-00078,au-au-00078,ESPN,ESPN,6459,MEDIUM
AU-00079,au-au-00079,ESPN,ESPN,6459,MEDIUM
AU-00190,au-au-00190,FOX SPORTS NEWS,FOX SPORTS NEWS,1461,MEDIUM
AU-00185,au-au-00185,FOX SPORTS 503,FOX SPORTS 503,1545,MEDIUM
AU-00187,au-au-00187,FOX SPORTS 505,FOX SPORTS 505,1344,MEDIUM
AU-00188,au-au-00188,FOX SPORTS 506,FOX SPORTS 506,1386,MEDIUM
AU-00129,au-au-00129,ESPN,ESPN,6459,MEDIUM
AU-00335,au-au-00335,10,10,1857,MEDIUM
AU-00336,au-au-00336,10,10,1857,MEDIUM
AU-00337,au-au-00337,10,10,1857,MEDIUM
AU-00338,au-au-00338,10,10,1857,MEDIUM
AU-00339,au-au-00339,10,10,1857,MEDIUM
AU-00340,au-au-00340,10,10,1857,MEDIUM
AU-00341,au-au-00341,10,10,1857,MEDIUM
AU-00342,au-au-00342,10,10,1857,MEDIUM
AU-00343,au-au-00343,10,10,1857,MEDIUM
AU-00195,au-au-00195,10,10,1857,MEDIUM
AU-00264,au-au-00264,10,10,1857,MEDIUM
AU-00029,au-au-00029,9GEM,9GEM,1674,MEDIUM
AU-00037,au-au-00037,9GO!,9GO!,1608,MEDIUM
AU-00045,au-au-00045,9LIFE,9LIFE,1803,MEDIUM
AU-00053,au-au-00053,9RUSH,9RUSH,1635,MEDIUM
AU-00024,au-au-00024,CHANNEL 9,CHANNEL 9,4542,MEDIUM
AU-00032,au-au-00032,9GEM,9GEM,1674,MEDIUM
AU-00040,au-au-00040,9GO!,9GO!,1608,MEDIUM
AU-00048,au-au-00048,9LIFE,9LIFE,1803,MEDIUM
AU-00056,au-au-00056,9RUSH,9RUSH,1635,MEDIUM
AU-00022,au-au-00022,CHANNEL 9,CHANNEL 9,4542,MEDIUM
AU-00030,au-au-00030,9GEM,9GEM,1674,MEDIUM
AU-00038,au-au-00038,9GO!,9GO!,1608,MEDIUM
AU-00046,au-au-00046,9LIFE,9LIFE,1803,MEDIUM
AU-00054,au-au-00054,9RUSH,9RUSH,1635,MEDIUM
AU-00023,au-au-00023,CHANNEL 9,CHANNEL 9,4542,MEDIUM
AU-00031,au-au-00031,9GEM,9GEM,1674,MEDIUM
AU-00039,au-au-00039,9GO!,9GO!,1608,MEDIUM
AU-00047,au-au-00047,9LIFE,9LIFE,1803,MEDIUM
AU-00055,au-au-00055,9RUSH,9RUSH,1635,MEDIUM
AU-00025,au-au-00025,CHANNEL 9,CHANNEL 9,4542,MEDIUM
AU-00033,au-au-00033,9GEM,9GEM,1674,MEDIUM
AU-00041,au-au-00041,9GO!,9GO!,1608,MEDIUM
AU-00049,au-au-00049,9LIFE,9LIFE,1803,MEDIUM
AU-00057,au-au-00057,9RUSH,9RUSH,1635,MEDIUM
AU-00019,au-au-00019,CHANNEL 9,CHANNEL 9,4542,MEDIUM
AU-00026,au-au-00026,9GEM,9GEM,1674,MEDIUM
AU-00034,au-au-00034,9GO!,9GO!,1608,MEDIUM
AU-00042,au-au-00042,9LIFE,9LIFE,1803,MEDIUM
AU-00050,au-au-00050,9RUSH,9RUSH,1635,MEDIUM
AU-00020,au-au-00020,CHANNEL 9,CHANNEL 9,4542,MEDIUM
AU-00027,au-au-00027,9GEM,9GEM,1674,MEDIUM
AU-00035,au-au-00035,9GO!,9GO!,1608,MEDIUM
AU-00043,au-au-00043,9LIFE,9LIFE,1803,MEDIUM
AU-00051,au-au-00051,9RUSH,9RUSH,1635,MEDIUM
AU-00021,au-au-00021,CHANNEL 9,CHANNEL 9,4542,MEDIUM
AU-00028,au-au-00028,9GEM,9GEM,1674,MEDIUM
AU-00036,au-au-00036,9GO!,9GO!,1608,MEDIUM
AU-00044,au-au-00044,9LIFE,9LIFE,1803,MEDIUM
AU-00052,au-au-00052,9RUSH,9RUSH,1635,MEDIUM
AU-00003,au-au-00003,10,10,1857,MEDIUM
AU-00005,au-au-00005,10,10,1857,MEDIUM
AU-00009,au-au-00009,10,10,1857,MEDIUM
AU-00011,au-au-00011,7FLIX,7FLIX,1338,HIGH
AU-00012,au-au-00012,7FLIX,7FLIX,1338,HIGH
AU-00013,au-au-00013,7FLIX,7FLIX,1338,HIGH
AU-00014,au-au-00014,7FLIX,7FLIX,1338,HIGH
AU-00010,au-au-00010,7BRAVO,7BRAVO,1185,HIGH
AU-00182,au-au-00182,FOX CRICKET,FOX CRICKET,1320,MEDIUM
AU-00015,au-au-00015,7MATE,7MATE,1290,HIGH
AU-00017,au-au-00017,7TWO,7TWO,1209,HIGH
AU-00018,au-au-00018,7TWO,7TWO,1209,HIGH
AU-00058,au-au-00058,ABC KIDS,ABC KIDS,3276,HIGH
AU-00060,au-au-00060,ABC KIDS,ABC KIDS,3276,MEDIUM
AU-00059,au-au-00059,ABC ME,ABC ME,5880,HIGH
AU-00062,au-au-00062,ABC KIDS,ABC KIDS,3276,MEDIUM
AU-00063,au-au-00063,ABC KIDS,ABC KIDS,3276,MEDIUM
AU-00018,au-au-00018,7TWO,7TWO,1209,MEDIUM
AU-00008,au-au-00008,10,10,1857,MEDIUM
AU-00061,au-au-00061,ABC NEWS,ABC NEWS,125577,HIGH
AU-00207,au-au-00207,RACING.COM,RACING.COM,0,MEDIUM
AU-00208,au-au-00208,RACING.COM,RACING.COM,0,HIGH
AU-00209,au-au-00209,RACING.COM,RACING.COM,0,HIGH
AU-00210,au-au-00210,RACING.COM,RACING.COM,0,HIGH
